2014/12/09 14:35:09,1,0,E,OK,0,10_20141209143509.bmp
2014/12/09 14:35:09,1,0,V,OK,0,10_20141209143509.bmp,LAKIN(9000)
2014/12/16 17:57:16,1,0,E,OK,0,10_20141216175716.bmp
2014/12/16 17:57:16,1,0,V,OK,0,10_20141216175716.bmp,CT2014120001(2000)
2014/12/16 17:57:16,1,0,V,OK,0,10_20141216175716.bmp,CT2014120001(6000)
2014/12/16 18:02:16,1,0,V,OK,0,10_20141216180216.bmp,CT2014120001(6000)
2014/12/16 18:02:16,1,0,E,OK,0,10_20141216180216.bmp
2014/12/16 18:02:16,1,0,V,OK,0,10_20141216180216.bmp,CT2014120002(9000)
2014/12/16 18:03:16,1,0,V,OK,0,10_20141216180316.bmp,CT2014120002(5000)
2014/12/17 14:18:17,1,0,V,OK,0,10_20141217141817.bmp,CT2014120001(2000)
2014/12/17 15:03:17,1,0,V,OK,0,10_20141217150317.bmp,CT2014120001(3000)
2014/12/17 16:19:17,1,0,E,OK,0,10_20141217161917.bmp
2014/12/17 16:19:17,1,0,V,OK,0,10_20141217161917.bmp,CT2014120003(9000)
2014/12/17 16:20:17,1,0,E,OK,0,10_20141217162017.bmp
2014/12/17 16:20:17,1,0,V,OK,0,10_20141217162017.bmp,CT2014120004(7000)
2014/12/17 16:21:17,1,0,V,NG,2,10_20141217162117.bmp
2014/12/17 16:21:17,1,0,V,NG,2,10_20141217162117.bmp
2014/12/17 16:23:17,1,0,V,OK,0,10_20141217162317.bmp,CT2014120001(3000)
2014/12/17 16:23:17,1,0,V,OK,0,10_20141217162317.bmp,CT2014120001(4000)
2014/12/17 16:24:17,1,0,V,OK,0,10_20141217162417.bmp,CT2014120001(2000)
2014/12/17 16:35:17,1,0,E,OK,0,10_20141217163517.bmp
2014/12/17 16:35:17,1,0,V,OK,1,10_20141217163517.bmp,CT2014120001(2000)
2014/12/17 16:45:17,1,0,V,OK,0,10_20141217164517.bmp,CT2014120005(10000)
2014/12/17 16:50:17,1,0,V,OK,0,10_20141217165017.bmp,CT2014120001(1000)
2014/12/17 16:53:17,1,0,E,OK,0,10_20141217165317.bmp
2014/12/17 16:57:17,1,0,V,OK,0,10_20141217165717.bmp,CT2014120006(9000)
2014/12/17 17:01:17,1,0,E,OK,0,10_20141217170117.bmp
2014/12/17 17:01:17,1,0,V,OK,0,10_20141217170117.bmp,CT2014120007(8000)
2014/12/17 17:01:17,1,0,V,OK,2,10_20141217170117.bmp,CT2014120001(2000)
2014/12/17 17:08:17,1,0,E,OK,0,10_20141217170817.bmp
2014/12/17 17:08:17,1,0,V,OK,0,10_20141217170817.bmp,CT2014120008(6000)
2014/12/17 17:08:17,1,0,V,OK,0,10_20141217170817.bmp,CT2014120001(4000)
2014/12/18 11:39:18,1,0,V,OK,0,10_20141218113918.bmp,CT2014120001(2000)
2014/12/18 11:50:18,1,0,V,OK,0,10_20141218115018.bmp,CT2014120001(3000)
2014/12/18 11:59:18,1,0,E,OK,0,10_20141218115918.bmp
2014/12/18 11:59:18,1,0,V,OK,0,10_20141218115918.bmp,CT2014120009(9000)
2014/12/18 12:03:18,1,0,E,OK,0,10_20141218120318.bmp
2014/12/18 12:03:18,1,0,V,OK,0,10_20141218120318.bmp,CT2014120010(8000),CT2014120001(3000)
2014/12/18 12:04:18,1,0,V,OK,0,10_20141218120418.bmp,CT2014120010(7000),CT2014120001(4000)
2014/12/18 12:06:18,1,0,E,OK,0,10_20141218120618.bmp
2014/12/18 12:06:18,1,0,V,OK,0,10_20141218120618.bmp,CT2014120010(2000)
2014/12/18 12:07:18,1,0,V,NG,2,10_20141218120718.bmp
2014/12/18 12:07:18,1,0,V,OK,0,10_20141218120718.bmp,CT2014120010(2000)
2014/12/18 12:07:18,1,0,V,OK,0,10_20141218120718.bmp,CT2014120011(8000)
2014/12/18 12:11:18,1,0,E,OK,0,10_20141218121118.bmp
